date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-07-11 00:11:16.908612,216.86407252759898,219.5886131057661,217.95975345610233,218.6220643657589,6121184,50.0,50.0,0.0,0.0,0.0
2026-07-12 00:11:16.908612,220.0663934303987,221.95095396823703,219.45257874459523,221.43523440713497,8018846,50.0,50.0,0.64,0.64,0.64
2026-07-13 00:11:16.908612,220.59738180854893,222.18562480251938,220.39913555390353,221.63730406155108,6979171,50.0,50.0,0.49,0.49,0.49
2026-07-14 00:11:16.908612,218.23473083485146,219.41123715191702,217.35807681656428,218.567798105645,8076407,50.0,50.0,-0.68,-0.68,-0.68
2026-07-15 00:11:16.908612,221.1188895323867,223.2482294249672,220.41365588641813,221.5807555862469,4206279,50.0,50.0,0.55,0.55,0.55
2026-07-16 00:11:16.908612,221.8783111409698,225.6099270000297,223.31110290141734,223.82325191235566,4145867,50.0,50.0,1.09,1.3,1.3
2026-07-17 00:11:16.908612,222.98449223904285,225.6790680493914,220.54377856153303,223.39969910436105,7055503,50.0,50.0,0.72,0.95,0.95
2026-07-18 00:11:16.908612,225.0185201719444,228.40601034777617,223.77111755367034,225.70420215891824,8837052,50.0,50.0,1.39,1.74,1.74
2026-07-19 00:11:16.908612,225.24771801410557,226.0955908101871,224.8627336369477,225.67084874351806,3112047,58.41,52.8,0.73,1.53,1.53
2026-07-20 00:11:16.908612,226.79125896613013,227.56784556037582,225.42922402416488,227.51818707769843,1711283,69.6,58.4,1.02,2.12,2.12
2026-07-21 00:11:16.908612,222.4793960659668,223.9563887833601,221.90472117219068,223.9067868266644,9056615,66.16,60.99,-0.59,0.26,0.45
2026-07-22 00:11:16.908612,218.63826447744577,223.04597968204004,218.59662684558833,220.4880432235203,1150184,53.55,58.51,-1.86,-1.23,-0.99
2026-07-23 00:11:16.908612,216.73652943296426,219.58567997692583,215.14619960452734,217.6902701941902,2514607,42.09,53.04,-2.41,-2.31,-2.08
2026-07-24 00:11:16.908612,215.18173078294717,217.92154212297774,215.99371139839408,216.86392615647333,5523705,32.38,46.15,-2.0,-2.61,-2.28
2026-07-25 00:11:16.908612,219.39355472361882,221.95684219855892,218.9313715354446,219.90069485936564,3238417,33.54,41.95,0.06,-1.17,-0.85
2026-07-26 00:11:16.908612,217.07713424884608,219.51048301545745,215.7318935335543,218.6544170051736,6333537,31.18,38.36,-0.03,-1.5,-1.33
2026-07-27 00:11:16.908612,219.2441717344137,221.34511431346488,219.26462150518583,219.72445548451364,7189685,33.07,36.6,0.53,-0.85,-0.79
2026-07-28 00:11:16.908612,217.4509174351964,220.9472717677553,218.94878408627446,219.4325579935272,9381395,33.55,35.58,0.24,-0.7,-0.87
2026-07-29 00:11:16.908612,219.09901958949138,222.9308034785621,219.25734139585094,220.49322072645793,9531696,42.6,37.92,0.39,0.01,-0.37
2026-07-30 00:11:16.908612,218.39250319163682,222.49767866268027,218.13378631099584,219.50325292711318,8778890,46.78,40.87,-0.03,-0.07,-0.78
2026-07-31 00:11:16.908612,221.00460764158728,221.42753999654434,219.69135547178544,221.08557183454695,3432229,56.62,46.12,0.47,0.78,-0.12
2026-08-01 00:11:16.908612,216.69968062075947,218.89285688623806,216.81979937770612,217.42825187871793,3058470,45.6,45.95,-0.98,-0.75,-1.68
2026-08-02 00:11:16.908612,219.99680970961057,220.90488012140196,220.06682912032244,220.38669935999303,7706743,51.95,47.95,0.28,0.47,-0.32
2026-08-03 00:11:16.908612,217.2231459447895,219.60320151525428,216.51401124181206,218.84410647958933,3077063,49.05,48.32,-0.28,-0.32,-1.02
2026-08-04 00:11:16.908612,217.82529985499764,220.978666354192,217.45257280921086,218.9975661133904,1691366,45.6,47.41,-0.16,-0.21,-0.9
2026-08-05 00:11:16.908612,216.72592803194976,218.69754583296165,215.62040061095902,217.00328783510983,5497192,36.71,43.84,-0.7,-1.04,-1.65
2026-08-06 00:11:16.908612,217.64178573576854,219.0324379342863,218.19864483881477,218.7884656591343,8918633,38.92,42.2,-0.01,-0.19,-0.73
2026-08-07 00:11:16.908612,219.50995468477913,220.4765825881799,217.53802935384186,220.1099475953252,2496514,47.7,44.03,0.62,0.39,-0.01
2026-08-08 00:11:16.908612,218.674701625492,220.1100084786182,219.51429488299124,220.10841565327115,2833765,57.56,48.54,0.51,0.4,0.12
2026-08-09 00:11:16.908612,219.46995590760045,221.5417838365391,218.14261203342056,220.55159169819382,8744489,66.14,54.41,0.57,0.56,0.48
