date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2024-08-07,77.42619067291342,80.25777437425447,77.42619067291342,79.99231719970703,625902,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-08-08,78.75350191774447,79.54988699520827,78.39955224431296,78.57653045654297,239504,0.0,0.0,50.0,50.0,-0.89,-0.89,-0.89
2024-08-09,78.75350272923852,80.25778041803727,78.75350272923852,79.01896667480469,283102,0.0,0.0,50.0,50.0,-0.22,-0.22,-0.22
2024-08-12,79.10745318329492,80.25778120631325,79.10745318329492,79.63837432861328,227719,0.0,0.0,50.0,50.0,0.42,0.42,0.42
2024-08-13,79.81534735746983,80.7002182006836,79.46140442100734,80.7002182006836,234749,0.0,0.0,50.0,50.0,1.4,1.4,1.4
2024-08-14,80.87719291211198,82.5584487915039,80.78870718183418,82.5584487915039,489473,0.0,0.0,50.0,50.0,3.07,3.09,3.09
2024-08-15,82.82390959139303,82.82390959139303,80.61173248291016,80.61173248291016,515800,0.0,0.0,50.0,50.0,0.13,0.57,0.57
2024-08-16,81.67358317852636,82.91239698322177,81.31963348388672,81.31963348388672,463351,0.0,0.0,50.0,50.0,0.44,1.27,1.27
2024-08-19,81.31963270923904,81.76206813556676,80.70021906176295,80.78871154785156,169524,0.0,0.0,53.76,51.25,-0.5,0.54,0.54
2024-08-20,81.5850846947934,82.38146976143817,80.8771921085757,82.11601257324219,335537,0.0,0.0,63.29,55.27,0.78,1.97,1.97
2024-08-21,82.73542184173746,84.94759889632937,82.0275224838566,83.62029266357422,978889,0.0,0.0,68.39,59.64,2.36,3.37,3.47
2024-08-22,84.1512121641529,84.1512121641529,81.93903515273443,82.73542022705078,264110,0.0,0.0,66.3,61.86,0.75,1.75,2.18
2024-08-23,82.73541859915724,82.73541859915724,81.40811241842209,81.67357635498047,152300,0.0,0.0,57.64,60.45,-0.62,0.12,0.8
2024-08-26,81.76206288151869,82.73541940668578,81.76206288151869,82.29298400878906,188021,0.0,0.0,51.35,57.42,-0.24,0.55,1.45
2024-08-27,81.58508548070178,82.73542022705078,81.40811402019969,82.73542022705078,242012,0.0,0.0,50.56,55.13,0.15,0.84,1.86
2024-08-28,83.08936992419912,83.08936992419912,81.93903517750242,82.5584487915039,134011,0.0,0.0,48.29,52.85,0.19,0.63,1.54
2024-08-29,82.73542106529443,83.17785647206071,82.11601419623307,83.00088500976562,219000,0.0,0.0,50.25,51.98,0.67,0.87,1.96
2024-08-30,83.35482948736396,84.23970031738281,82.55845114116994,84.23970031738281,431100,0.0,0.0,61.04,55.0,1.54,2.01,3.28
2024-09-02,84.50515662745426,84.50515662745426,82.91238657699678,84.0627212524414,240105,0.0,0.0,65.69,58.56,0.89,1.4,2.9
2024-09-03,84.23969270203533,84.32818517786035,83.35482195200963,84.0627212524414,254559,0.0,0.0,72.37,63.16,0.57,1.16,2.75
2024-09-04,81.40811241842209,83.44331792929398,79.10744972202019,81.67357635498047,778502,0.0,0.0,64.09,63.47,-2.08,-1.48,-0.28
2024-09-05,81.93903515273443,83.35482708983656,81.85054942248338,82.73542022705078,354062,0.0,0.0,65.13,64.03,-0.74,-0.2,0.77
2024-09-06,82.64693452178169,82.73542025205948,81.05416437266756,82.5584487915039,225719,0.0,0.0,64.73,64.26,-0.55,-0.52,0.33
2024-09-09,80.87719208572526,82.29298400878906,80.70021387594952,82.29298400878906,344015,0.0,0.0,62.83,63.78,-0.45,-0.84,-0.15
2024-09-10,81.85054944722462,82.73542025205948,81.58508550536277,82.5584487915039,254072,0.0,0.0,63.2,63.59,0.24,-0.5,0.06
2024-09-11,81.67357465159448,82.02751755825267,80.9656753362217,81.14264678955078,306086,0.0,0.0,54.7,60.62,-1.36,-2.04,-1.57
2024-09-12,81.40811321299563,82.29298400878906,80.7887063563516,82.29298400878906,311075,0.0,0.0,56.14,59.13,0.15,-0.57,-0.28
2024-09-13,81.58508387544211,82.02751926902049,81.58508387544211,81.67357635498047,109000,0.0,0.0,53.81,57.36,-0.39,-1.01,-1.05
2024-09-16,81.67357550606475,82.46995380540561,81.40811157226562,81.40811157226562,99916,0.0,0.0,53.56,56.09,-0.5,-1.01,-1.41
2024-09-18,82.11601173777579,83.35482543880991,81.4965981362304,81.7620620727539,438801,0.0,0.0,49.04,53.74,0.13,-0.3,-0.96
2024-09-19,81.85054943484076,83.00088418136343,81.85054943484076,82.64693450927734,250208,0.0,0.0,57.14,54.87,0.84,0.66,0.17
2024-09-20,82.64693688872026,84.15121459960938,81.93903752416733,84.15121459960938,395619,0.0,0.0,71.43,60.39,2.21,2.31,1.91
2024-09-23,83.88575411802987,83.88575411802987,82.46995544433594,82.46995544433594,238800,0.0,0.0,64.28,61.69,-0.02,0.28,-0.18
2024-09-24,82.29298481236947,83.17785561680354,82.29298481236947,82.82390594482422,108117,0.0,0.0,63.03,62.14,0.06,0.65,0.22
2024-09-25,83.53180693159626,83.97424234251464,83.35482871661175,83.62029266357422,232019,0.0,0.0,70.09,64.79,0.57,1.48,1.13
2024-09-26,83.62029267779378,83.88575662480139,83.00088580281415,83.53180694580078,213426,0.0,0.0,72.53,67.37,0.25,1.08,0.96
2024-09-27,83.26634220320827,83.88575582329818,82.91239252758953,83.00088500976562,156027,0.0,0.0,67.71,67.48,-0.11,0.35,0.32
2024-09-30,82.646935320844,83.17785645867237,82.55844958971069,83.08937072753906,119495,0.0,0.0,65.14,66.7,-0.15,0.29,0.5
2024-10-01,83.7087767366743,83.7087767366743,82.20449906977389,82.91239166259766,161016,0.0,0.0,58.81,64.07,-0.38,-0.11,0.35
2024-10-04,83.1778564453125,83.1778564453125,82.2929856320645,83.1778564453125,174200,0.0,0.0,57.87,62.01,0.04,0.04,0.73
2024-10-07,83.62029266357422,83.62029266357422,82.82390757371542,83.62029266357422,158172,0.0,0.0,65.25,63.09,0.55,0.46,1.15
2024-10-08,83.44332119961831,83.62029266357422,82.73542184173746,83.62029266357422,158006,0.0,0.0,70.17,65.45,0.4,0.52,1.09
2024-10-09,83.88575662480139,83.88575662480139,82.82390758779954,83.53180694580078,171010,0.0,0.0,71.78,67.56,0.19,0.29,0.92
2024-10-11,83.79726140018607,86.54036625942328,83.79726140018607,86.45187377929688,1312239,0.0,0.0,80.5,71.87,2.82,3.34,4.19
2024-10-14,86.80582672423107,88.13313296390135,86.80582672423107,87.95616149902344,798051,0.0,0.0,86.01,76.58,3.43,4.6,5.66
